City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Mount Gambier,AU,-37.8333,140.7667,54.7,87,53,8.61,broken clouds
70,Bluff,NZ,-46.6,168.3333,51.8,58,7,1.19,clear sky
71,Alekseyevka,RU,50.6309,38.6903,49.71,86,2,6.85,clear sky
72,Broome,US,42.2506,-75.833,66.58,73,0,3.44,clear sky
73,Erenhot,CN,43.6475,111.9767,42.96,21,45,7.54,scattered clouds
74,Yellowknife,CA,62.456,-114.3525,55.92,47,75,10.36,broken clouds
75,Oxapampa,PE,-10.5775,-75.4017,61.09,97,95,2.08,overcast clouds
76,Tanout,NE,14.9709,8.8879,86.99,36,100,9.73,overcast clouds
77,Arraial Do Cabo,BR,-22.9661,-42.0278,70.59,91,66,29.53,broken clouds
78,Lebu,CL,-37.6167,-73.65,52.63,96,100,8.61,overcast clouds
79,Salamiyah,SY,35.0113,37.0532,67.77,63,0,3.27,clear sky
80,Kokstad,ZA,-30.5472,29.4241,55.74,91,100,2.89,overcast clouds
81,Acapulco,MX,16.8634,-99.8901,85.82,70,75,10.36,broken clouds
82,Kodiak,US,57.79,-152.4072,53.11,87,100,5.75,mist
83,Ancud,CL,-41.8697,-73.8203,51.62,98,100,21.56,moderate rain
84,Kungurtug,RU,50.5994,97.5228,22.77,89,100,4.05,overcast clouds
85,Labuhan,ID,-6.8844,112.2051,78.17,84,100,8.1,overcast clouds
86,Bambui,BR,-20.0064,-45.9769,74.95,64,100,3.24,overcast clouds
87,Cabedelo,BR,-6.9811,-34.8339,79.47,87,21,9.64,few clouds
88,Flin Flon,CA,54.7682,-101.865,40.84,45,20,10.36,few clouds
89,Hofn,IS,64.2539,-15.2082,42.98,61,85,9.64,overcast clouds
90,Muhos,FI,64.808,25.9931,46.89,80,62,11.59,broken clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,65.55,96,91,7.0,overcast clouds
92,Zhanakorgan,KZ,43.9098,67.2495,54.9,28,1,4.79,clear sky
93,Vaini,TO,-21.2,-175.2,82.56,83,40,9.22,scattered clouds
94,Karasjok,NO,69.4719,25.5112,41.22,80,34,23.31,scattered clouds
95,Portland,US,45.5234,-122.6762,86.74,48,20,6.91,few clouds
96,Cape Town,ZA,-33.9258,18.4232,58.12,78,75,3.44,broken clouds
97,Adrar,MR,20.5022,-10.0711,90.82,16,0,10.27,clear sky
98,Fountain,US,38.6822,-104.7008,71.51,34,0,10.36,clear sky
99,Kumano,JP,34.3442,132.5894,59.92,90,100,1.25,overcast clouds
100,Kavieng,PG,-2.5744,150.7967,84.24,64,100,17.49,overcast clouds
101,Aykhal,RU,66.0,111.5,11.68,96,100,5.93,overcast clouds
102,Marsh Harbour,BS,26.5412,-77.0636,78.58,67,7,14.88,clear sky
103,Naklo Nad Notecia,PL,53.1421,17.6018,44.44,72,0,7.36,clear sky
104,Barcelos,PT,41.5388,-8.6151,70.92,64,6,2.82,clear sky
105,Sisimiut,GL,66.9395,-53.6735,29.73,90,100,6.08,overcast clouds
106,Bondoukou,CI,8.0333,-2.8,71.2,95,53,3.22,broken clouds
107,Barranca,PE,-10.75,-77.7667,62.06,77,39,8.63,scattered clouds
108,Saskylakh,RU,71.9167,114.0833,20.08,90,100,17.94,overcast clouds
109,Dikson,RU,73.5069,80.5464,33.48,98,100,20.65,light snow
110,Varnavino,RU,57.4035,45.0916,41.67,94,36,8.63,scattered clouds
111,Aranda De Duero,ES,41.6704,-3.6892,58.89,66,96,10.74,overcast clouds
112,Baykit,RU,61.67,96.37,26.8,98,73,0.36,broken clouds
113,Victoria,HK,22.2855,114.1577,82.45,86,11,10.0,few clouds
114,Hithadhoo,MV,-0.6,73.0833,80.98,78,77,19.15,heavy intensity rain
115,Port-Gentil,GA,-0.7193,8.7815,78.76,83,100,12.66,overcast clouds
116,Hilo,US,19.7297,-155.09,85.28,61,75,12.66,broken clouds
117,Makakilo City,US,21.3469,-158.0858,83.95,61,40,11.5,scattered clouds
118,Mogadishu,SO,2.0371,45.3438,77.05,83,89,13.85,overcast clouds
119,Karratha,AU,-20.7377,116.8463,75.29,35,3,9.91,clear sky
120,Tucurui,BR,-3.7661,-49.6725,84.85,49,77,1.61,broken clouds
