City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Ninh Binh,VN,75.99,few clouds,20.2539,105.975,Kinh Do Hotel
477,Vernon,CA,78.22,broken clouds,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
481,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
486,Matara,LK,75.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
487,Talisay,PH,84.22,broken clouds,10.2447,123.8494,RedDoorz Celbyrne Pension Hauz
491,Salinopolis,BR,80.89,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
492,Ibotirama,BR,84.56,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
493,Qandala,SO,81.79,scattered clouds,11.472,49.8728,
499,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
503,Eirunepe,BR,75.56,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
506,Doha,QA,85.98,clear sky,25.2867,51.5333,Mövenpick Doha
509,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
510,San Jose,US,87.49,broken clouds,37.3394,-121.895,The Westin San Jose
511,Ranot,TH,81.07,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
514,Sao Gabriel Da Cachoeira,BR,79.54,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
516,Norsup,VU,82.63,few clouds,-16.0667,167.3833,Nabelchel Bungalows
517,Loiza,PR,84.18,scattered clouds,18.4313,-65.8802,Vacation Realty
518,Balabac,PH,82.83,light rain,7.9868,117.0645,Batalla’s Lodging House
519,Klang,MY,78.94,few clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
520,Sibolga,ID,75.34,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
523,Paracuru,BR,79.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
525,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
526,Aruja,BR,78.35,heavy intensity rain,-23.3961,-46.3208,Viverdi Hotel
